"filename", "language", "C++", "Markdown", "HTML", "JSON with Comments", "JSON", "CMake", "Makefile", "CMake Cache", "TypeScript", "Log", "C", "comment", "blank", "total"
"c:\Projects\Appetito\libs\asio\include\asio\detail\array_fwd.hpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 35
"c:\Projects\Appetito\libs\asio\include\asio\detail\assert.hpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 33
"c:\Projects\Appetito\libs\asio\include\asio\detail\atomic_count.hpp", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 68
"c:\Projects\Appetito\libs\asio\include\asio\detail\base_from_cancellation_state.hpp", "C++", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28, 164
"c:\Projects\Appetito\libs\asio\include\asio\detail\base_from_completion_cond.hpp", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 70
"c:\Projects\Appetito\libs\asio\include\asio\detail\bind_handler.hpp", "C++", 939, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 116, 1072
"c:\Projects\Appetito\libs\asio\include\asio\detail\blocking_executor_op.hpp", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 108
"c:\Projects\Appetito\libs\asio\include\asio\detail\buffer_resize_guard.hpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 67
"c:\Projects\Appetito\libs\asio\include\asio\detail\buffer_sequence_adapter.hpp", "C++", 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 148, 842
"c:\Projects\Appetito\libs\asio\include\asio\detail\buffered_stream_storage.hpp", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 23, 127
"c:\Projects\Appetito\libs\asio\include\asio\detail\bulk_executor_op.hpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 89
"c:\Projects\Appetito\libs\asio\include\asio\detail\call_stack.hpp", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 126
"c:\Projects\Appetito\libs\asio\include\asio\detail\chrono.hpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 67
"c:\Projects\Appetito\libs\asio\include\asio\detail\chrono_time_traits.hpp", "C++", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 31, 191
"c:\Projects\Appetito\libs\asio\include\asio\detail\completion_handler.hpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 89
"c:\Projects\Appetito\libs\asio\include\asio\detail\concurrency_hint.hpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 16, 95
"c:\Projects\Appetito\libs\asio\include\asio\detail\conditionally_enabled_event.hpp", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 121
"c:\Projects\Appetito\libs\asio\include\asio\detail\conditionally_enabled_mutex.hpp", "C++", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 150
"c:\Projects\Appetito\libs\asio\include\asio\detail\config.hpp", "C++", 1890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 127, 2189
"c:\Projects\Appetito\libs\asio\include\asio\detail\consuming_buffers.hpp", "C++", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 66, 452
"c:\Projects\Appetito\libs\asio\include\asio\detail\cstddef.hpp", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 32
"c:\Projects\Appetito\libs\asio\include\asio\detail\cstdint.hpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 63
"c:\Projects\Appetito\libs\asio\include\asio\detail\date_time_fwd.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 35
"c:\Projects\Appetito\libs\asio\include\asio\detail\deadline_timer_service.hpp", "C++", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 52, 336
"c:\Projects\Appetito\libs\asio\include\asio\detail\dependent_type.hpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 37
"c:\Projects\Appetito\libs\asio\include\asio\detail\descriptor_ops.hpp", "C++", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 49, 180
"c:\Projects\Appetito\libs\asio\include\asio\detail\descriptor_read_op.hpp", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 151
"c:\Projects\Appetito\libs\asio\include\asio\detail\descriptor_write_op.hpp", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 151
"c:\Projects\Appetito\libs\asio\include\asio\detail\dev_poll_reactor.hpp", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 53, 231
"c:\Projects\Appetito\libs\asio\include\asio\detail\epoll_reactor.hpp", "C++", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 64, 279
"c:\Projects\Appetito\libs\asio\include\asio\detail\event.hpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 49
"c:\Projects\Appetito\libs\asio\include\asio\detail\eventfd_select_interrupter.hpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 22, 84
"c:\Projects\Appetito\libs\asio\include\asio\detail\exception.hpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 41
"c:\Projects\Appetito\libs\asio\include\asio\detail\executor_function.hpp", "C++", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 35, 205
"c:\Projects\Appetito\libs\asio\include\asio\detail\executor_op.hpp", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 85
"c:\Projects\Appetito\libs\asio\include\asio\detail\fd_set_adapter.hpp", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 40
"c:\Projects\Appetito\libs\asio\include\asio\detail\fenced_block.hpp", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 81
"c:\Projects\Appetito\libs\asio\include\asio\detail\functional.hpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 45
"c:\Projects\Appetito\libs\asio\include\asio\detail\future.hpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 34
"c:\Projects\Appetito\libs\asio\include\asio\detail\gcc_arm_fenced_block.hpp", "C++", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 92
"c:\Projects\Appetito\libs\asio\include\asio\detail\gcc_hppa_fenced_block.hpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 69
"c:\Projects\Appetito\libs\asio\include\asio\detail\gcc_sync_fenced_block.hpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 66
"c:\Projects\Appetito\libs\asio\include\asio\detail\gcc_x86_fenced_block.hpp", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 100
"c:\Projects\Appetito\libs\asio\include\asio\detail\global.hpp", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 53
"c:\Projects\Appetito\libs\asio\include\asio\detail\handler_alloc_helpers.hpp", "C++", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 289
"c:\Projects\Appetito\libs\asio\include\asio\detail\handler_cont_helpers.hpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 46
"c:\Projects\Appetito\libs\asio\include\asio\detail\handler_invoke_helpers.hpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 81
"c:\Projects\Appetito\libs\asio\include\asio\detail\handler_tracking.hpp", "C++", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 62, 265
"c:\Projects\Appetito\libs\asio\include\asio\detail\handler_type_requirements.hpp", "C++", 489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56, 560
"c:\Projects\Appetito\libs\asio\include\asio\detail\handler_work.hpp", "C++", 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 75, 526
"c:\Projects\Appetito\libs\asio\include\asio\detail\hash_map.hpp", "C++", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 45, 332
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\buffer_sequence_adapter.ipp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 119
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\descriptor_ops.ipp", "C++", 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 138, 934
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\dev_poll_reactor.hpp", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 112
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\dev_poll_reactor.ipp", "C++", 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 61, 461
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\epoll_reactor.hpp", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 110
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\epoll_reactor.ipp", "C++", 646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 113, 818
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\eventfd_select_interrupter.ipp", "C++", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 172
"c:\Projects\Appetito\libs\asio\include\asio\detail\impl\handler_tracking.ipp", "C++", 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69, 397
